@relation menu-weka.filters.unsupervised.attribute.Add-NSize-Clast-W1.0-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.Add-NPrice-Clast-W1.0

@attribute Category {Breakfast,'Beef & Pork','Chicken & Fish','Snacks & Sides',Desserts,Beverages,'Coffee & Tea','Smoothies & Shakes'}
@attribute Item string
@attribute Calories numeric
@attribute 'Calories from Fat' numeric
@attribute 'Total Fat (\% Daily Value)' numeric
@attribute 'Saturated Fat (\% Daily Value)' numeric
@attribute 'Trans Fat' numeric
@attribute 'Cholesterol (\% Daily Value)' numeric
@attribute 'Sodium (\% Daily Value)' numeric
@attribute 'Carbohydrates (\% Daily Value)' numeric
@attribute 'Dietary Fiber (\% Daily Value)' numeric
@attribute Sugars numeric
@attribute Protein numeric
@attribute 'Vitamin A (\% Daily Value)' numeric
@attribute 'Vitamin C (\% Daily Value)' numeric
@attribute 'Calcium (\% Daily Value)' numeric
@attribute 'Iron (\% Daily Value)' numeric
@attribute Size numeric
@attribute Price numeric

@data
Breakfast,'Egg McMuffin',300,120,20,25,0,87,31,10,17,3,17,10,0,25,15,4.8,2.9
Breakfast,'Egg White Delight',250,70,12,15,0,8,32,10,17,3,18,6,0,25,8,4.8,2.9
Breakfast,'Sausage McMuffin',370,200,35,42,0,15,33,10,17,2,14,8,0,25,10,3.9,2.5
Breakfast,'Sausage McMuffin with Egg',450,250,43,52,0,95,36,10,17,2,21,15,0,30,15,5.7,3.4
Breakfast,'Sausage McMuffin with Egg Whites',400,210,35,42,0,16,37,10,17,2,21,6,0,25,10,5.7,3.4
Breakfast,'Steak & Egg McMuffin',430,210,36,46,1,100,40,10,18,3,26,15,2,30,20,6.5,3.8
Breakfast,' Bacon & Egg & Cheese Biscuit (Regular Biscuit)',460,230,40,65,0,83,54,13,7,3,19,10,8,15,15,5.3,3.2
Breakfast,'Bacon & Egg & Cheese Biscuit (Large Biscuit)',520,270,47,68,0,83,59,14,12,4,19,15,8,20,20,5.8,3.4
Breakfast,'Bacon & Egg & Cheese Biscuit with Egg Whites (Regular Biscuit)',410,180,32,56,0,11,54,12,7,3,20,2,8,15,10,5.4,3.2
Breakfast,'Bacon & Egg & Cheese Biscuit with Egg Whites (Large Biscuit)',470,220,38,59,0,11,59,14,12,4,20,6,8,15,15,5.9,3.5
Breakfast,'Sausage Biscuit (Regular Biscuit)',430,240,42,62,0,10,45,11,6,2,11,0,0,6,15,4.1,2.6
Breakfast,'Sausage Biscuit (Large Biscuit)',480,280,48,65,0,10,50,13,11,3,11,4,0,8,15,4.6,2.8
Breakfast,'Sausage Biscuit with Egg (Regular Biscuit)',510,290,50,71,0,83,49,12,6,2,18,6,0,10,20,5.7,3.4
Breakfast,'Sausage Biscuit with Egg (Large Biscuit)',570,330,57,74,0,83,53,14,11,3,18,10,0,10,20,6.2,3.6
Breakfast,'Sausage Biscuit with Egg Whites (Regular Biscuit)',460,250,42,62,0,11,49,11,6,3,18,0,0,8,15,5.9,3.5
Breakfast,'Sausage Biscuit with Egg Whites (Large Biscuit)',520,280,49,65,0,11,54,13,11,3,18,4,0,8,15,6.4,3.7
Breakfast,'Southern Style Chicken Biscuit (Regular Biscuit)',410,180,31,41,0,10,49,14,6,3,17,0,2,6,15,5,3
Breakfast,'Southern Style Chicken Biscuit (Large Biscuit)',470,220,37,45,0,10,54,15,11,4,17,4,2,8,15,5.5,3.3
Breakfast,'Steak & Egg Biscuit (Regular Biscuit)',540,290,49,78,1,93,61,13,8,3,25,10,2,20,25,7.1,4.1
Breakfast,'Sausage McGriddles',420,200,34,40,0,11,43,15,8,15,11,0,0,8,10,5,3
Breakfast,'Big Breakfast (Regular Biscuit)',740,430,73,87,0,185,65,17,12,3,28,15,2,15,25,9.5,5.3
Breakfast,'Big Breakfast (Large Biscuit)',800,470,80,90,0,185,70,19,17,3,28,15,2,15,30,10,5.5
Breakfast,'Big Breakfast with Egg Whites (Regular Biscuit)',640,330,57,69,0,12,66,17,12,3,26,0,2,10,15,9.6,5.3
